good luck at your new start 	jj nn innn prpd jj nn 	 jj nn innn at prpd your jj nn
he is also good on japanese and studies ' kanji '	prp vbz rb jj innn jj cc nns pos nnp pos 	 prp he vbz rb jj innn on jj cc nns pos nnp pos
i heard an sentence last night when i was watching tv	prp vbd dt nn jj nn wrb prp vbd vbg nn 	 prp i vbd dt an S nn jj nn wrb prp i vbd vbg nn
it reminds and inspires me an lot	prp vbz cc vbz prp dt nn 	 prp it vbz cc vbz prp me dt an L nn
when you go uphill , you has to bend your back	wrb prp vbp jj , prp vbz to vb prpd nn 	 wrb prp you vbp go jj , prp you vbz to vb prpd your nn
making souvenirs is an hard but interesting work	vbg nns vbz dt jj cc jj nn 	 vbg nns vbz dt an H jj cc jj nn
i will never forget my first time on customs	prp md rb vb prpd jj nn innn nns 	 prp i md rb vb prpd my jj nn innn on nns
i does  not  know why	prp vbz rb vb wrb 	 prp i vbz rb vb wrb
i had been wondering what she was  have been doing	prp vbd vbn vbg wp prp vbd vbp vbn vbg 	 prp i vbd vbn vbg wp prp she vbd vbp have vbn vbg
and finally , she released an new song 	cc rb , prp vbd dt jj nn 	 cc rb , prp she vbd dt an N jj nn
what an shock 	wp dt nn 	 wp dt an S nn
she still have  not  recovered from them	prp rb vbp rb vbn innn prp 	 prp she rb vbp have rb vbn innn from prp them
she had an incredible beautiful high voice	prp vbd dt jj jj jj nn 	 prp she vbd dt an I jj jj jj nn
i think this web site is an cool idea	prp vbp dt nn nn vbz dt jj nn 	 prp i vbp think dt this nn nn vbz dt an K jj nn
i just installed fallout  digit  and played an bit last night	prp rb vbd nnp nnp cc vbd dt nn jj nn 	 prp i rb vbd nnp nnp cc vbd dt an B nn jj nn
earlier i went to an library	rbr prp vbd to dt nn 	 rbr prp i vbd to dt an L nn
on the way i got an headache	innn dt nn prp vbd dt nn 	 innn on dt the nn prp i vbd dt an H nn
it 's not an joke	prp vbz rb dt nn 	 prp it vbz rb dt an J nn
if my sentences am  not  practical , please correct them	innn prpd nns vbp rb jj , vb vb prp 	 innn if prpd my nns vbp am rb jj , vb vb prp them
my mum is an great cook 	prpd nn vbz dt jj nn 	 prpd my nn vbz dt an G jj nn
i just realised i are so lucky   	prp rb vbd prp vbp rb jj 	 prp i rb vbd prp i vbp are rb jj
being an housewife is really tough	vbg dt nn vbz rb jj 	 vbg dt an H nn vbz rb jj
i would rather be working outside than be an housewife	prp md rb vb vbg innn innn vb dt nn 	 prp i md rb vb vbg innn outside innn than vb dt an H nn
i does  not  really like cockroaches	prp vbz rb rb innn nns 	 prp i vbz rb rb innn like nns
i has  not  seen cockroaches since i came here	prp vbz rb vbn nns innn prp vbd rb 	 prp i vbz rb vbn nns innn since prp i vbd rb
i  am  gon na does it next time 	prp vbp vbg nn vbz prp jj nn 	 prp i vbp am vbg nn vbz prp it jj nn
this is my first time writing an diary at the internet	dt vbz prpd jj nn vbg dt nn innn dt nn 	 dt this vbz prpd my jj nn vbg dt an D nn innn at dt the nn
i watched an dvd of  grey 's anatomy  today	prp vbd dt nnp innn nnp pos nn nn 	 prp i vbd dt an D nnp innn of nnp pos nn nn
actually i watch it an lot these days	rb prp vbp prp dt nn dt nns 	 rb prp i vbp watch prp it dt an L nn dt these nns
so there is an lot to see	rb ex vbz dt nn to vb 	 rb ex vbz dt an L nn to vb
i does  not  know all the medical words in english	prp vbz rb vb pdt dt jj nns innn nnp 	 prp i vbz rb vb pdt dt the jj nns innn in nnp
so i has to check dictionary all the time	rb prp vbz to vb jj pdt dt nn 	 rb prp i vbz to vb jj pdt dt the nn
i ate an chinese citron now	prp vbp dt jj nn rb 	 prp i vbp ate dt an C jj nn rb
i  am  eating an banana every day for my health	prp vbp vbg dt nn dt nn innn prpd nn 	 prp i vbp am vbg dt an B nn dt every nn innn for prpd my nn
she 's a  digit  year old golden retriever	prp vbz dt jj nn jj jj nn 	 prp she vbz dt a D jj nn jj jj nn
her fur is an beautiful amber colour and is soft	prpd nn vbz dt jj nn nn cc vbz jj 	 prpd her nn vbz dt an B jj nn nn cc vbz jj
it have not been rainy for an week ,	prp vbp rb vbn vbn innn dt nn , 	 prp it vbp have rb vbn vbn innn for dt an W nn ,
i saw an news article at yahoo yesterday	prp vbd dt nn nn innn nnp nn 	 prp i vbd dt an N nn nn innn at nnp nn
the different values about handsome among cultures is very interesting	dt jj nns innn nn innn nns vbz rb jj 	 dt the jj nns innn about nn innn among nns vbz rb jj
i has seen a article at time	prp vbz vbn dt nn innn nnp 	 prp i vbz vbn dt a A nn innn at nnp
i make an long entry again	prp vbp dt jj nn rb 	 prp i vbp make dt an L jj nn rb
it almost cost me an whole morning	prp rb vb prp dt jj nn 	 prp it rb vb prp me dt an H jj nn
i has to watch the nba 's final game  digit 	prp vbz to vb dt nnp pos jj nn nnp 	 prp i vbz to vb dt the nnp pos jj nn nnp
my son have diarrhea	prpd nn vbp nn 	 prpd my nn vbp have nn
my son has diarrea	prpd nn vbz vbn 	 prpd my nn vbz vbn
what an pity 	wp dt nn 	 wp dt an P nn
i are listening to music at the commuter train	prp vbp vbg to nn innn dt nn nn 	 prp i vbp are vbg to nn innn at dt the nn nn
spring is an very exciting season	nn vbz dt rb jj nn 	 nn vbz dt an V rb jj nn
i hope to get an new promotion	prp vbp to vb dt jj nn 	 prp i vbp hope to vb dt an N jj nn
everyday , there am new things to try	rb , ex vbp jj nns to vb 	 rb , ex vbp am jj nns to vb
today have nothing specal to write  	nn vbp nn jj to vb 	 nn vbp have nn jj to vb
i hooked at the american dvds	prp vbd innn dt jj nn 	 prp i vbd innn at dt the jj nn
before that i hooked at  alias 	innn dt prp vbd innn nnp 	 innn before dt that prp i vbd innn at nnp
i got an foot masssage today	prp vbd dt nn nn nn 	 prp i vbd dt an F nn nn nn
it 's an kind of tai  wan style massage	prp vbz dt nn innn nnp nnp nn nn 	 prp it vbz dt an K nn innn of nnp nnp nn nn
